Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Comment,Status Category
verify subject field with numeric values,UN-58,10057,Test,Blocked,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:39 PM,17/Feb/22 12:39 PM,21/Feb/22 9:57 AM,,,0,,"subject field can take alphabetic,numeric,alphanumeric,special characters",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzx,,,,,Sprint 1,,,,,,,,,In Progress
verify subject field with alphabetic values,UN-57,10056,Test,Blocked,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 12:39 PM,21/Feb/22 9:57 AM,,,0,,"subject field can take alphabetic,numeric,alphanumeric,special characters",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzv,,,,,Sprint 1,,,,,,,,,In Progress
verify mandatory field is not empty,UN-56,10055,Test,Blocked,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 12:39 PM,21/Feb/22 9:57 AM,,,0,,mandatory field must be filled,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzo,,,,,Sprint 1,,,,,,,,,In Progress
verify mandatory field with astrick*,UN-55,10054,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 10:42 AM,16/Feb/22 3:10 PM,,,0,,mandatory field must have astrick*,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzm,,,,,Sprint 1,,,,,,,,,Done
very To field has dropdown menu,UN-54,10053,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 11:50 AM,21/Feb/22 9:57 AM,,,0,,To field must have dropdown menu as per the requirement,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzr,,,,,Sprint 1,,,,,,,,,Done
verify from field has default input,UN-53,10052,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 10:41 AM,21/Feb/22 9:57 AM,,,0,,from should have a default email,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzi,,,,,Sprint 1,,,,,,,,,Done
verify textbox for every label,UN-52,10051,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 10:41 AM,21/Feb/22 9:57 AM,,,0,,textbox to be present beside every label,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zz,,,,,Sprint 1,,,,,,,,,Done
verify mail has following labels,UN-51,10050,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 10:41 AM,17/Feb/22 10:12 AM,,,0,,"verify following labels
from,to,subject and message",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zy,,,,,Sprint 1,,,,,,,,,Done
verify continue button,UN-50,10049,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify continue button which would take us to the another part to be edited,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0009j:,,,,,,,,,,,,,,To Do
verify customer group has dropdown menu,UN-49,10048,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify customer group has dropdown menu as per the requirement,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0009b:,,,,,,,,,,,,,,To Do
verify store & currency has default input,UN-48,10047,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify store & currency has default input,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00093:,,,,,,,,,,,,,,To Do
verify telephone no. has 10 digits,UN-47,10046,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify telephone no.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008v:,,,,,,,,,,,,,,To Do
verifyfy email id format in cd,UN-46,10045,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verifyfy email id format in cd,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008n:,,,,,,,,,,,,,,To Do
